,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate,Percent_Public_Face_Mask_Mandate
Month,04,05,06,07,08,09,10,11,12,01,02,03
Year,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021
State_Tribe_Territory,,,,,,,,,,,,
AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,51.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AR,0.0,0.0,0.0,38.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.43,100.0
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,0.0,0.0,43.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CO,0.0,0.0,0.0,51.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CT,52.38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DC,0.0,51.61,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
DE,14.29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GU,0.0,80.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
HI,66.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
IA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.67,100.0,100.0,100.0,31.82
ID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
IN,0.0,0.0,0.0,16.13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KS,0.0,0.0,0.0,93.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KY,0.0,0.0,0.0,70.97,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LA,0.0,0.0,0.0,61.29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MA,0.0,83.87,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MD,61.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ME,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MI,23.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MN,0.0,0.0,0.0,25.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
MO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,0.0,0.0,0.0,12.51,91.15,100.0,100.0,56.59,77.3,93.31,91.46,99.22
MT,0.0,0.0,0.0,54.84,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NC,0.0,0.0,16.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.67,100.0,100.0,100.0,100.0
NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,100.0,100.0,100.0,100.0
NH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.67,100.0,100.0,100.0,100.0
NJ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NM,0.0,49.85,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NV,0.0,0.0,23.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NY,66.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
OH,0.0,0.0,0.0,37.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PA,57.14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PR,85.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
RI,0.0,77.42,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,0.0,0.0,0.0,93.55,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
UT,0.0,0.0,0.0,0.0,0.0,0.0,49.61,94.48,100.0,100.0,100.0,100.0
VA,0.0,9.68,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VI,0.0,90.32,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
VT,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WA,0.0,0.0,16.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WI,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WV,0.0,0.0,0.0,80.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.19,100.0,100.0
