Start Date,End Date,Group,Year,Month,State,Age Group,COVID-19 Deaths,Total Deaths,Population
1/1/20,4/24/21,By Total,0.0,0.0,Montana,55-64 years,170.0,1834.0,150008.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,65-74 years,343.0,3102.0,124631.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,75-84 years,468.0,3825.0,58951.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,85 years and over,515.0,4571.0,22855.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,Under 5 years,0.0,37.0,130880.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,5-14 years,0.0,60.0,266296.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,15-24 years,0.0,246.0,268196.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,25-34 years,17.0,377.0,255338.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,35-44 years,28.0,593.0,243139.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,45-54 years,104.0,1144.0,215808.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,55-64 years,278.0,2890.0,242293.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,65-74 years,548.0,4768.0,178908.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,75-84 years,808.0,6050.0,90492.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,85 years and over,1023.0,8548.0,43058.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,Under 5 years,0.0,42.0,185575.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,5-14 years,0.0,70.0,392066.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,15-24 years,11.0,485.0,365218.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,25-34 years,53.0,945.0,453116.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,35-44 years,130.0,1425.0,410505.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,45-54 years,386.0,2755.0,394228.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,55-64 years,816.0,5812.0,383476.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,65-74 years,1442.0,9559.0,303363.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,75-84 years,1622.0,10823.0,147793.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,85 years and over,1052.0,9103.0,44816.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,Under 5 years,0.0,11.0,63621.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,5-14 years,0.0,20.0,143449.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,15-24 years,0.0,129.0,171874.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,25-34 years,0.0,318.0,172816.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,35-44 years,0.0,405.0,156500.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,45-54 years,20.0,802.0,183273.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,55-64 years,58.0,1975.0,214314.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,65-74 years,206.0,3390.0,152669.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,75-84 years,389.0,4371.0,70954.0
1/1/20,4/24/21,By Total,0.0,0.0,New Hampshire,85 years and over,604.0,6122.0,30241.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,Under 5 years,0.0,76.0,514690.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,5-14 years,0.0,85.0,1083967.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,15-24 years,24.0,729.0,1093555.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,25-34 years,165.0,2114.0,1152278.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,35-44 years,417.0,3265.0,1137693.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,45-54 years,1223.0,6569.0,1200823.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,55-64 years,3059.0,14926.0,1223649.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,65-74 years,4825.0,22531.0,832866.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,75-84 years,6199.0,29837.0,439565.0
1/1/20,4/24/21,By Total,0.0,0.0,New Jersey,85 years and over,7559.0,42531.0,203104.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,Under 5 years,0.0,28.0,120986.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,5-14 years,0.0,47.0,272268.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,15-24 years,11.0,385.0,278459.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,25-34 years,81.0,1042.0,284087.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,35-44 years,143.0,1358.0,254846.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,45-54 years,285.0,1976.0,235656.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,55-64 years,617.0,3944.0,272921.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,65-74 years,920.0,5892.0,224483.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,75-84 years,987.0,6915.0,111714.0
1/1/20,4/24/21,By Total,0.0,0.0,New Mexico,85 years and over,893.0,7543.0,41409.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,Under 5 years,0.0,94.0,1127001.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,5-14 years,0.0,169.0,2218596.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,15-24 years,23.0,1050.0,2445246.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,25-34 years,109.0,2562.0,2867651.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,35-44 years,298.0,3702.0,2429961.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,45-54 years,908.0,7108.0,2471804.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,55-64 years,2547.0,17774.0,2597156.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,65-74 years,4692.0,28976.0,1859922.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,75-84 years,6527.0,38327.0,976223.0
1/1/20,4/24/21,By Total,0.0,0.0,New York,85 years and over,9153.0,57168.0,460001.0
1/1/20,4/24/21,By Total,0.0,0.0,New York City,Under 5 years,0.0,57.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,5-14 years,11.0,136.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,15-24 years,41.0,737.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,25-34 years,224.0,1929.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,35-44 years,661.0,3337.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,45-54 years,1778.0,6611.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,55-64 years,4354.0,14776.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,65-74 years,6858.0,21452.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,75-84 years,7445.0,24499.0,
1/1/20,4/24/21,By Total,0.0,0.0,New York City,85 years and over,6913.0,30931.0,
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,Under 5 years,0.0,113.0,609770.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,5-14 years,0.0,201.0,1294472.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,15-24 years,10.0,1431.0,1387060.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,25-34 years,51.0,2757.0,1416069.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,35-44 years,138.0,3561.0,1303427.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,45-54 years,383.0,6539.0,1364067.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,55-64 years,946.0,14225.0,1362125.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,65-74 years,1979.0,21807.0,1046508.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,75-84 years,2524.0,26302.0,515192.0
1/1/20,4/24/21,By Total,0.0,0.0,North Carolina,85 years and over,2755.0,28361.0,189394.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,Under 5 years,0.0,13.0,54101.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,5-14 years,0.0,25.0,99495.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,15-24 years,0.0,118.0,109397.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,25-34 years,0.0,235.0,114571.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,35-44 years,19.0,311.0,92576.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,45-54 years,46.0,477.0,78199.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,55-64 years,139.0,1194.0,93878.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,65-74 years,284.0,1827.0,66664.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,75-84 years,438.0,2469.0,34368.0
1/1/20,4/24/21,By Total,0.0,0.0,North Dakota,85 years and over,714.0,3621.0,18813.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,Under 5 years,0.0,187.0,690828.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,5-14 years,0.0,271.0,1440279.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,15-24 years,14.0,1720.0,1507223.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,25-34 years,64.0,4060.0,1554378.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,35-44 years,194.0,5477.0,1397808.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,45-54 years,563.0,9924.0,1447581.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,55-64 years,1944.0,23601.0,1604683.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,65-74 years,4440.0,37132.0,1189243.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,75-84 years,6543.0,45203.0,600805.0
1/1/20,4/24/21,By Total,0.0,0.0,Ohio,85 years and over,7808.0,55640.0,256272.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,Under 5 years,0.0,75.0,255533.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,5-14 years,0.0,133.0,538048.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,15-24 years,0.0,617.0,539562.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,25-34 years,52.0,1144.0,543593.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,35-44 years,131.0,1911.0,497873.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,45-54 years,400.0,3601.0,453536.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,55-64 years,1030.0,8575.0,493694.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,65-74 years,1998.0,13357.0,368050.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,75-84 years,2348.0,15201.0,192919.0
1/1/20,4/24/21,By Total,0.0,0.0,Oklahoma,85 years and over,2270.0,15336.0,74163.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,Under 5 years,0.0,31.0,227811.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,5-14 years,0.0,66.0,491536.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,15-24 years,0.0,497.0,510237.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,25-34 years,10.0,980.0,604284.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,35-44 years,35.0,1355.0,568712.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,45-54 years,92.0,2599.0,510127.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,55-64 years,246.0,6177.0,538950.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,65-74 years,421.0,10688.0,464598.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,75-84 years,700.0,12982.0,216944.0
1/1/20,4/24/21,By Total,0.0,0.0,Oregon,85 years and over,842.0,16154.0,84538.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,Under 5 years,0.0,186.0,697924.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,5-14 years,0.0,246.0,1475640.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,15-24 years,27.0,1629.0,1603208.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,25-34 years,97.0,3890.0,1709136.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,35-44 years,216.0,5116.0,1513739.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,45-54 years,755.0,9684.0,1604097.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,55-64 years,2317.0,23645.0,1804883.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,65-74 years,5141.0,38804.0,1354093.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,75-84 years,7315.0,49498.0,707157.0
1/1/20,4/24/21,By Total,0.0,0.0,Pennsylvania,85 years and over,10833.0,70359.0,332112.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,Under 5 years,0.0,0.0,54521.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,5-14 years,0.0,18.0,112868.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,15-24 years,0.0,96.0,146657.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,25-34 years,0.0,235.0,148213.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,35-44 years,17.0,336.0,125335.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,45-54 years,56.0,661.0,135112.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,55-64 years,197.0,1744.0,149609.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,65-74 years,479.0,2644.0,106159.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,75-84 years,663.0,3595.0,53375.0
1/1/20,4/24/21,By Total,0.0,0.0,Rhode Island,85 years and over,1179.0,6052.0,27512.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,Under 5 years,0.0,74.0,292464.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,5-14 years,0.0,112.0,630716.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,15-24 years,12.0,951.0,655402.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,25-34 years,44.0,1824.0,682854.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,35-44 years,134.0,2529.0,620504.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,45-54 years,351.0,4783.0,640607.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,55-64 years,1082.0,10818.0,689144.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,65-74 years,2145.0,16792.0,570600.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,75-84 years,2618.0,19179.0,275013.0
1/1/20,4/24/21,By Total,0.0,0.0,South Carolina,85 years and over,2152.0,18791.0,91410.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,Under 5 years,0.0,19.0,61167.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,5-14 years,0.0,25.0,121666.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,15-24 years,0.0,143.0,116664.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,25-34 years,14.0,224.0,115064.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,35-44 years,20.0,367.0,105864.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,45-54 years,70.0,594.0,94865.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,55-64 years,185.0,1473.0,117498.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,65-74 years,390.0,2364.0,89216.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,75-84 years,517.0,2877.0,41670.0
1/1/20,4/24/21,By Total,0.0,0.0,South Dakota,85 years and over,806.0,4309.0,20985.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,Under 5 years,0.0,143.0,408605.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,5-14 years,0.0,203.0,844681.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,15-24 years,21.0,1395.0,869205.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,25-34 years,67.0,2949.0,949656.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,35-44 years,202.0,4360.0,847658.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,45-54 years,607.0,7808.0,871279.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,55-64 years,1603.0,17099.0,894697.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,65-74 years,3058.0,25234.0,681396.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,75-84 years,3722.0,28503.0,340228.0
1/1/20,4/24/21,By Total,0.0,0.0,Tennessee,85 years and over,3083.0,27292.0,121769.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,Under 5 years,0.0,487.0,1990891.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,5-14 years,18.0,752.0,4166702.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,15-24 years,112.0,4326.0,4055517.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,25-34 years,550.0,7620.0,4276763.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,35-44 years,1445.0,11626.0,3942439.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,45-54 years,3835.0,22432.0,3554098.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,55-64 years,8455.0,48769.0,3275242.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,65-74 years,13353.0,72076.0,2245028.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,75-84 years,13719.0,80526.0,1080742.0
1/1/20,4/24/21,By Total,0.0,0.0,Texas,85 years and over,11266.0,83528.0,408459.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,Under 5 years,0.0,42.0,247803.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,5-14 years,0.0,85.0,526961.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,15-24 years,0.0,444.0,518499.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,25-34 years,27.0,771.0,471806.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,35-44 years,62.0,1158.0,443453.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,45-54 years,148.0,1604.0,328430.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,55-64 years,280.0,3272.0,303134.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,65-74 years,550.0,5278.0,219466.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,75-84 years,645.0,7158.0,107832.0
1/1/20,4/24/21,By Total,0.0,0.0,Utah,85 years and over,640.0,8571.0,38574.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,Under 5 years,0.0,0.0,29043.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,5-14 years,0.0,0.0,64156.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,15-24 years,0.0,57.0,86646.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,25-34 years,0.0,133.0,74408.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,35-44 years,0.0,222.0,71267.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,45-54 years,0.0,372.0,78051.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,55-64 years,14.0,910.0,95379.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,65-74 years,32.0,1495.0,75206.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,75-84 years,68.0,1987.0,35396.0
1/1/20,4/24/21,By Total,0.0,0.0,Vermont,85 years and over,102.0,2791.0,14437.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,Under 5 years,0.0,101.0,505477.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,5-14 years,0.0,164.0,1040121.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,15-24 years,13.0,1132.0,1113447.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,25-34 years,45.0,2135.0,1190381.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,35-44 years,132.0,3123.0,1112496.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,45-54 years,413.0,5777.0,1100274.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,55-64 years,1117.0,13681.0,1114417.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,65-74 years,2226.0,20863.0,802291.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,75-84 years,2913.0,26128.0,402130.0
1/1/20,4/24/21,By Total,0.0,0.0,Virginia,85 years and over,3509.0,30728.0,154485.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,Under 5 years,0.0,76.0,456476.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,5-14 years,0.0,140.0,935771.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,15-24 years,12.0,878.0,929322.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,25-34 years,18.0,1651.0,1172075.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,35-44 years,78.0,2399.0,1028141.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,45-54 years,203.0,4332.0,923777.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,55-64 years,514.0,10077.0,959608.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,65-74 years,1045.0,16581.0,735524.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,75-84 years,1420.0,19701.0,339621.0
1/1/20,4/24/21,By Total,0.0,0.0,Washington,85 years and over,1770.0,25081.0,134578.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,Under 5 years,0.0,25.0,93025.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,5-14 years,0.0,37.0,203472.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,15-24 years,0.0,202.0,216856.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,25-34 years,0.0,641.0,214004.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,35-44 years,23.0,1019.0,213802.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,45-54 years,88.0,1788.0,229251.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,55-64 years,248.0,4043.0,254726.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,65-74 years,653.0,6421.0,217323.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,75-84 years,848.0,7498.0,109552.0
1/1/20,4/24/21,By Total,0.0,0.0,West Virginia,85 years and over,784.0,7265.0,40136.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,Under 5 years,0.0,61.0,330496.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,5-14 years,0.0,122.0,714031.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,15-24 years,0.0,683.0,768140.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,25-34 years,34.0,1441.0,741222.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,35-44 years,73.0,1969.0,713075.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,45-54 years,238.0,3600.0,715209.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,55-64 years,642.0,9215.0,823018.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,65-74 years,1508.0,15042.0,594748.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,75-84 years,2308.0,19330.0,294186.0
1/1/20,4/24/21,By Total,0.0,0.0,Wisconsin,85 years and over,3148.0,27335.0,128309.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,Under 5 years,0.0,0.0,34931.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,5-14 years,0.0,12.0,76734.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,15-24 years,0.0,84.0,74590.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,25-34 years,0.0,184.0,76433.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,35-44 years,0.0,239.0,74285.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,45-54 years,24.0,371.0,63853.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,55-64 years,60.0,942.0,78754.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,65-74 years,137.0,1454.0,60590.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,75-84 years,190.0,1739.0,27598.0
1/1/20,4/24/21,By Total,0.0,0.0,Wyoming,85 years and over,198.0,1972.0,10991.0
